location,lon_min,lon_max,lat_min,lat_max
AgApostoloi,24.00,24.50,38.25,38.50
Gyaros,24.25,25.00,37.50,37.75
Donousa2,25.75,26.00,37.00,37.25
Crete1,26.25,26.50,34.75,35.25
Crete2b,25.50,26.00,35.25,35.50
Rhodes,27.50,27.75,35.75,36.00
Chios,25.50,26.00,38.50,38.75
